id,title,description,thumbnail,gallery_url,sort
75,落花生,实现小学五年级落花生课文阅读探究及生字词自主学习,/storage/studio/thumbnail/thumbnail/1747706091-thumbnail.png,/gallery/OtQZnOgWTaieopQg,0
76,植树问题,同学们在全长100m的小路植树，每隔5m栽一棵，比较两种情况,/storage/studio/thumbnail/thumbnail/zswt.jpg,/gallery/植树问题,4
77,掷一掷,探索骰子中的概率世界,/storage/studio/thumbnail/thumbnail/zyz.jpg,/gallery/zyz,4
78,跑道长度差异可视化,标准400米跑道各跑道长度比较与起跑线确定,/storage/studio/thumbnail/thumbnail/1747732907-thumbnail.png,/gallery/lSHrNuN3IkC0zH3P,0
79,英语动物单词闪卡,英语单词学习好工具，闪卡,/storage/studio/thumbnail/thumbnail/1747752921-thumbnail.png,/gallery/YGPDKfYxoeaFrLtY,0
81,解释电流的形成,模拟电子在导体中的定向移动，形象地解释电流是如何形成的,/storage/studio/thumbnail/thumbnail/1747819665-thumbnail.png,/gallery/JmIol5f9GIy36ZyF,0
82,地球自转、公转与24节气,地球自转、公转与24节气,/storage/studio/thumbnail/thumbnail/24jq.jpg,/gallery/24jq,0
84,电流形成原理,电流形成原理，探索电荷定向移动的奥秘,/storage/studio/thumbnail/thumbnail/1747993793-thumbnail.png,/gallery/nl9F7g1BKf6CgNKa,0
85,图片拼图游戏,图片拼图游戏,/storage/studio/thumbnail/thumbnail/1748264702-thumbnail.png,/gallery/7ZYGa2dbiHKGieiC,0
86,智能教室分贝监测系统,教室分贝监测系统,/storage/studio/thumbnail/thumbnail/1748266518-thumbnail.png,/gallery/QEWdyjqZOfPh08IH,0
87,追及相遇问题互动游戏,通过动画演示学习速度、时间、路程的关系,/storage/studio/thumbnail/thumbnail/1748319626-thumbnail.png,/gallery/SMTHLVNCFqOyFUxP,0
88,摸球模拟器,小学数学概率学,/storage/studio/thumbnail/thumbnail/1748327919-thumbnail.png,/gallery/FbHhjixbZKQbLUa6,0
89,智能英文填字游戏生成器,自适应难度系统，智能预填字母，提供个性化学习体验,/storage/studio/thumbnail/thumbnail/1748333079-thumbnail.png,/gallery/hwbOTPpsop2wQs6L,0
90,AI骨骼识别,AI骨骼识别教具,/storage/studio/thumbnail/thumbnail/1748600459-thumbnail.png,/gallery/wp1EewDZwBRTu3hZ,0
91,制作花钟（左侧鲜花，右侧钟表）,将右侧时钟调整到花朵开放的正确时间，回答正确后花朵会美丽绽放！,/storage/studio/thumbnail/thumbnail/1748957883-thumbnail.png,/gallery/DrbrApJk2dMsoYgB,0
93,认知分类游戏(动物/水果/蔬菜),,/storage/studio/thumbnail/thumbnail/1749520633-thumbnail.png,/gallery/prEbBCJLwE3BPJHQ,0
94,探索正方形中的小正方形,从不同角度发现数学规律,/storage/studio/thumbnail/thumbnail/1749524577-thumbnail.png,/gallery/lWS3YzLitNyTRb7Z,0
95,地球的内核,地球是一个复杂的行星，由多个不同的层组成，每一层都有其独特的物理和化学特性。了解地球内部结构对于研究板块构造、地震活动和火山喷发等现象至关重要。,/storage/studio/thumbnail/thumbnail/1749541373-thumbnail.png,/gallery/52A98iiFw6jVQKm9,0
96,地球内核探究,地球内部由多个同心圆层组成，从外到内依次是地壳、地幔、外核和内核。每一层都有其独特的物理和化学性质，共同构成了我们居住的这颗蓝色星球,/storage/studio/thumbnail/thumbnail/1749542619-thumbnail.png,/gallery/jU1hrCnAg2w56edk,0
97,课堂计时器,课堂计时器,/storage/studio/thumbnail/thumbnail/1758094156-thumbnail.png,/gallery/c6fyo1JYSTee10kL,0
98,计时器（小）,小尺寸计时器,/storage/studio/thumbnail/thumbnail/1758099362-thumbnail.png,/gallery/rLhaRTEevueNRFXn,0
99,教室分贝监测系统（新）,教室分贝监测系统，动感小球,/storage/studio/thumbnail/thumbnail/1760175871-thumbnail.png,/gallery/Rin54LhldCjaKqNQ,0
100,数字华容道,开动思维，数字华容道,/storage/studio/thumbnail/thumbnail/1760178456-thumbnail.png,/gallery/uGmBF80dxlVVNKYu,0
101,华容道,思维锻炼，华容道,/storage/studio/thumbnail/thumbnail/1760180833-thumbnail.png,/gallery/jerk1M305g3I35Bq,0
104,2、3、5的倍数特征练习,小学五年级，倍数特征数的应用,/storage/studio/thumbnail/thumbnail/1760931085-thumbnail.png,/gallery/OkBEYZqD1Od5oPYY,0
111,俄罗斯方块（新）,小学二、三年级，学习平移和旋转后联系使用,/storage/studio/thumbnail/thumbnail/1761039146-thumbnail.png,/gallery/4WbUVZPyCcIZq5NJ,0
112,24点数字游戏,24点数字游戏,/storage/studio/thumbnail/thumbnail/1761044940-thumbnail.png,/gallery/WPfooUg8k6WYtIqk,0
113,数独,经典数字游戏，思维挑战，试用小学三年级，逐步排除不可能的思维方式。,/storage/studio/thumbnail/thumbnail/1761044566-thumbnail.png,/gallery/cgAlTW9uRcf2CQ8k,0
114,分数学习互动,分数学习互动课件,/storage/studio/thumbnail/thumbnail/1761045318-thumbnail.png,/gallery/Sm0Ebrr3uGdgXO7c,0
115,单位换算挑战,单位换算挑战,/storage/studio/thumbnail/thumbnail/1761045630-thumbnail.png,/gallery/shIROGspVxrBT2gA,0
116,小小收银员,"适用年级：小学二年级或三年级，学习完人民币以后练习用。
核心知识点：
1.人民币的认识。
2.人民币的计算
3.人民币的支付方式",/storage/studio/thumbnail/thumbnail/1761091797-thumbnail.png,/gallery/elWQlV0Im3prrwC8,0
117,音乐协作,与库乐队，课堂音乐选择协作工具,/storage/studio/thumbnail/thumbnail/1761657392-thumbnail.png,/gallery/B9ZttLe8CqGkyC9x,0
119,滑动与滚动,"两种模式切换：可选择“立方体（滑动）”或“小球（滚动）”。
物理仿真：
滑动：物体沿斜面平移，黄色圆点相对位置不变，轨迹为直线。
滚动：物体沿斜面旋转下落，黄色圆点随物体转动，轨迹为摆线（Cycloid）。
轨迹追踪：开启“圆点轨迹”开关后，会实时绘制黄色圆点的运动路径。
完全交互：包含播放、重置功能，UI 风格仿照原图设计。",/storage/studio/thumbnail/thumbnail/1763517642-thumbnail.png,/gallery/aE1Bz3DohBPahqQG,0
120,手电筒的工作原理和构造,,/storage/studio/thumbnail/thumbnail/1763517130-thumbnail.png,/gallery/kJL6Grp73nTSfpUi,0
121,火山构造教学演示,,/storage/studio/thumbnail/thumbnail/1763516978-thumbnail.png,/gallery/6DCAnr5NhihhV3v5,0
122,八大行星排序,八大行星排序,/storage/studio/thumbnail/thumbnail/1763516598-thumbnail.png,/gallery/sgIqUSWtkgLTMsNV,0
123,探索两圆相交,探索两圆相交,/storage/studio/thumbnail/thumbnail/1763516087-thumbnail.png,/gallery/oWU7ZEcVUBHtYvpq,0
124,二十四节气流转图,二十四节气流转图,/storage/studio/thumbnail/thumbnail/1763515311-thumbnail.png,/gallery/T7zsuB02fZL5TUfz,0
125,探索酒精增发的快慢,"自由控制变量：
风扇：点击可开启/关闭，开启后扇叶旋转，模拟加快空气流动。
加热器：点击可开启/关闭，开启后发红光，模拟提高温度。",/storage/studio/thumbnail/thumbnail/1763518291-thumbnail.png,/gallery/mvXERWwcfLVIpqHi,0
126,潜望镜的原理,它演示了光线是如何通过两个 45 度角的平面镜进行两次反射，从而将海面上的景象传递到水下的观察者眼中的。,/storage/studio/thumbnail/thumbnail/1763519957-thumbnail.png,/gallery/7wYLDc0z8jH5dORK,0
127,种子萌芽条件,允许学生通过调整水分、空气、温度、光照、土壤等变量，观察对种子萌发率的影响,/storage/studio/thumbnail/thumbnail/1763519663-thumbnail.png,/gallery/PzvKUs3V6v8c2eyB,0
128,探究溶解的快慢,帮助学生理解影响溶解速度的三个主要因素：温度、颗粒大小、是否搅拌。,/storage/studio/thumbnail/thumbnail/1763519025-thumbnail.png,/gallery/mPjqFESIGEvWrV5X,0
129,定滑轮演示,,/storage/studio/thumbnail/thumbnail/1763523213-thumbnail.png,/gallery/oeAXVj6cfYVShNyp,0
130,动滑轮演示,动滑轮演示,/storage/studio/thumbnail/thumbnail/1763523055-thumbnail.png,/gallery/mWav7PXYyyoutpcc,0
131,围长方形演示,围长方形问题演示,/storage/studio/thumbnail/thumbnail/1763522827-thumbnail.png,/gallery/JZDX5JlaqJdwDNLY,0
132,探究摩擦力大小的影响因素,模拟了真实的物理过程：先拉伸弹簧，当拉力大于摩擦力时，木块才会开始移动。,/storage/studio/thumbnail/thumbnail/1763521894-thumbnail.png,/gallery/nYAerVcAwQ3zuXHu,0
133,热传递的三种方式,热可以从一个物体传递给另一个物体，或者从物体的一部分传递到另一部分。热传递的方式有三种，即热传导、热辐射、热对流。,/storage/studio/thumbnail/thumbnail/1763521081-thumbnail.png,/gallery/Iu9l4duBG75SyyeM,0
134,视觉暂留现象,视觉暂留现象实验,/storage/studio/thumbnail/thumbnail/1763520535-thumbnail.png,/gallery/b25MAisB6gAywQGf,0
135,多力杠杆平衡演示,多力杠杆平衡演示,/storage/studio/thumbnail/thumbnail/1763523699-thumbnail.png,/gallery/oHsLN0fDBCpFT8fM,0
138,梁桥原理演示,,/storage/studio/thumbnail/thumbnail/1763523930-thumbnail.png,/gallery/U6DFGymlnLZ2p1uV,0
139,拱桥原理演示,,/storage/studio/thumbnail/thumbnail/1763524531-thumbnail.png,/gallery/kMuYXPGVNv8ZdQ6T,0
140,向上排气法,向上排气法,/storage/studio/thumbnail/thumbnail/1763525552-thumbnail.png,/gallery/1uKFmi0odueUl2Li,0
141,钢架桥受力原理,钢架桥受力原理,/storage/studio/thumbnail/thumbnail/1763525149-thumbnail.png,/gallery/p1VobZOSsM8TTCrb,0
142,排水集气法,排水集气法,/storage/studio/thumbnail/thumbnail/1763524967-thumbnail.png,/gallery/xpTr8IDZbS44fx1Q,0
143,悬索桥受理原理,,/storage/studio/thumbnail/thumbnail/1763524749-thumbnail.png,/gallery/c0a0PNOb7Yhpnj6Y,0
144,斜拉桥受力演示,,/storage/studio/thumbnail/thumbnail/1763525990-thumbnail.png,/gallery/WHrdeHnvAoCwNl6J,0
145,星舰起飞返回3D模拟,,/storage/studio/thumbnail/thumbnail/1763529216-thumbnail.png,/gallery/44hGwG33lcSRkMWz,0
146,飞机起飞作用力模拟,,/storage/studio/thumbnail/thumbnail/1763527857-thumbnail.png,/gallery/s5WRKrrrGtVYIVzh,0
147,工业制氧原理,工业制氧原理：分离液态空气法,/storage/studio/thumbnail/thumbnail/1763529470-thumbnail.png,/gallery/WZilbL7bRU8F7tbu,0
148,斜抛中的能量转化,斜抛中的能量转化,/storage/studio/thumbnail/thumbnail/1763529786-thumbnail.png,/gallery/1KDlGzWcc8Igoo9L,0
149,焦耳定律（电流热效应）实验,,/storage/studio/thumbnail/thumbnail/1763530073-thumbnail.png,/gallery/OFWK8Qe1IhwLHBRK,0
150,四冲程汽油机工作原理演示,四冲程汽油机工作原理演示,/storage/studio/thumbnail/thumbnail/1763530398-thumbnail.png,/gallery/qJM3jlZPdiKANsyF,0
151,电铃工作原理演示,,/storage/studio/thumbnail/thumbnail/1763530972-thumbnail.png,/gallery/4bEQo2G1e1EZabPT,0
152,中和反应,中和反应,/storage/studio/thumbnail/thumbnail/1763531116-thumbnail.png,/gallery/ywXPexpKHmjW4JDK,0
153,动能的影响因素,,/storage/studio/thumbnail/thumbnail/1763531775-thumbnail.png,/gallery/4TMwwUJm898yBiGa,0
154,色光的混合,色光的混合,/storage/studio/thumbnail/thumbnail/1763531568-thumbnail.png,/gallery/DDbZRgbfUwBsVTeq,0
155,伽利略望远镜,伽利略望远镜,/storage/studio/thumbnail/thumbnail/1763532578-thumbnail.png,/gallery/J5Ir1C9zUjSqIH6A,0
156,模拟膈肌的运动,,/storage/studio/thumbnail/thumbnail/1763532290-thumbnail.png,/gallery/VlsficyDSW9MdSSr,0
157,开普勒望远镜,,/storage/studio/thumbnail/thumbnail/1763532547-thumbnail.png,/gallery/TBWjb12xKkBYI6NL,0
158,光学显微镜成像原理,,/storage/studio/thumbnail/thumbnail/1763532678-thumbnail.png,/gallery/BQPrQVtojEceTCHu,0
